task_name,pct
act as advisers to student organizations.,0.006775156024025746
act as an advocate for farmers or farmers' groups.,0.0029967036260113876
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.012638271814048026
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.011465648656043569
act as liaisons between clients and medical staff.,0.0019543719300074264
act as liaisons between on-site managers or tenants and owners.,0.005081367018019309
"act as liaisons between ships' captains and shore personnel to ensure that schedules and budgets are maintained, and that ships are operated safely and efficiently.",0.0031269950880118825
adapt instructional content or delivery methods for different levels or types of learners.,0.13393962293650896
adapt instructional techniques to the age and skill levels of students.,0.002866412164010892
adapt software and accompanying technical documents to another language and culture.,0.003908743860014853
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.09628539041836588
adapt text to accommodate musical requirements of composers and singers.,0.022019257078083672
adapt the quantity of ingredients to match the amount of items to be baked.,0.02019517661007674
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.02697033263410249
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",0.002605829240009902
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",0.003648160936013863
address public audiences to explain program objectives and to elicit support.,0.004299618246016338
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.19634923323474615
"adjust controls of equipment to control particle beam movement, pulse rates, energy or intensity, or radiation, according to specifications.",0.004039035322015348
"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",0.005732824328021784
"adjust functional parts of devices or control instruments, using hand tools, levels, plumb bobs, or straightedges.",0.004560201170017329
adjust sales scripts to better target the needs and interests of specific individuals.,0.007166030410027231
"adjust, maintain, or repair laboratory equipment such as microscopes.",0.0023452463160089122
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.002084663392007922
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.030488202108115856
"administer highway planning, construction, or maintenance.",0.004560201170017329
administer online purchasing systems.,0.012898854738049016
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.007166030410027231
"administer systems and programs to reduce loss, maintain inventory control, or increase safety.",0.002605829240009902
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.008338653568031687
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.010032442574038123
"administer, proctor, or score academic or diagnostic assessments.",0.013159437662050005
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.01680759859806387
"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",0.0035178694740133683
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.015113809592057431
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.012638271814048026
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.014332060820054462
advise clients on financial and legal matters such as investments and taxes.,0.028403538716107932
advise clients on how they could be helped by counseling.,0.021628382692082188
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.05719795181821735
advise clients on transportation and payment methods.,0.002475537778009407
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.0023452463160089122
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",0.002475537778009407
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",0.0066448645620252504
advise corporations on issues involving corporate image projects or problems.,0.014201769358053966
advise customer about or perform maintenance of software system.,0.007687196258029211
"advise customers concerning equipment operation, maintenance, or programming.",0.0019543719300074264
advise customers of necessary actions and strategies for debt repayment.,0.009641568188036638
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",0.003387578012012873
advise customers on product usage to improve production.,0.0019543719300074264
advise customers on use and care of merchandise.,0.003387578012012873
advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0.002736120702010397
advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,0.003648160936013863
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.010553608422040103
